DATE,OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria
2021-02-19,118450,118220,119420,117970,-0.6291946308724832,2.0442571127502633,gap_negativo_medio,0.31693989071038253,0.00033695364895941385,0.3333333333333333,0.0003854023253220012,0.3333333333333333,0.0004513622775512255,0.3333333333333333,0.0003827424686143697,0.3333333333333333,118660.4537366548
2021-02-22,112970,112130,114600,111740,-4.440872948739639,1.2291260489955074,gap_negativo_alto,0.056074766355140186,0.000488534209362517,0.05555555555555556,0.00047186417668180575,0.05555555555555556,0.0004530676175193584,0.05555555555555556,0.0004734366764967929,0.05555555555555556,113099.1221033868
2021-02-23,113000,115515,115750,112950,0.7758851333273878,2.5595131555396455,gap_positivo_medio,0.3060109289617486,0.0004162847414981496,0.4722222222222222,0.00047541158331940034,0.4722222222222222,0.0005006481574280643,0.4722222222222222,0.000430595015589829,0.4722222222222222,114509.24511545293
2021-02-24,115515,115945,116360,114745,0.0,2.478972996901284,gap_quase_nulo,0.12021857923497267,0.00030291408945512955,0.1388888888888889,0.00021606514375388877,0.1388888888888889,0.00023827635565133664,0.1388888888888889,0.0003259703545452802,0.1388888888888889,115723.58540925267
2021-02-25,116000,112000,116720,111815,0.04743628444521109,1.407468735021134,gap_quase_nulo,0.15264797507788164,0.0007219683589297768,0.1388888888888889,0.00045068050583348834,0.1388888888888889,0.00048783595186561643,0.1388888888888889,0.0007801674059803397,0.1388888888888889,114709.56194690266
2021-02-26,112245,109800,113660,109765,0.21875000000000003,4.386710190940392,gap_positivo_medio,0.375,0.0006373662150671498,0.4722222222222222,0.000605244568493238,0.4722222222222222,0.00044735883170645075,0.4722222222222222,0.0006550639959194008,0.4722222222222222,111731.9696969697
2021-03-01,111350,110470,112670,110060,1.411657559198543,3.5484899558146954,gap_positivo_alto,0.1764705882352941,0.0008312887622094347,0.0,0.0006651016565255575,0.0,0.000553806911461072,0.0,0.000941740544369721,0.0,111621.54017857143
2021-03-02,110000,111980,112630,107330,-0.4254548746265955,2.371433763401781,gap_negativo_medio,0.31693989071038253,0.0007376070815255604,0.3333333333333333,0.0007087296984961359,0.3333333333333333,0.0004161842310798848,0.3333333333333333,0.0007398433213008768,0.3333333333333333,109875.13274336283
2021-03-03,112650,111335,112775,107550,0.5983211287729951,4.9380415540855305,gap_positivo_medio,0.375,0.001287271214458327,0.4722222222222222,0.0008324862065537231,0.4722222222222222,0.000758744421442592,0.4722222222222222,0.0015249973038009208,0.4722222222222222,110045.4375
2021-03-04,111600,113450,114700,111000,0.2380203889163336,4.858205485820548,gap_positivo_medio,0.375,0.0010932916523300686,0.4722222222222222,0.0011042799451071337,0.4722222222222222,0.0013051873754904156,0.4722222222222222,0.0010903854312842934,0.4722222222222222,112944.59734513274
2021-03-05,113665,115465,115635,112415,0.18951079770824153,3.3333333333333335,gap_positivo_medio,0.37254901960784315,0.0003817269900870348,0.4722222222222222,0.00031822843701440594,0.4722222222222222,0.00020544924921934283,0.4722222222222222,0.0004931233632005068,0.4722222222222222,114459.40497335701
2021-03-08,114150,109000,114695,108975,-1.1388732516346944,2.864386425299115,gap_negativo_alto,0.1092896174863388,0.0012166505582954568,0.05555555555555556,0.0012129089624806572,0.05555555555555556,0.0010842041688198568,0.05555555555555556,0.001182625312247818,0.05555555555555556,113179.32384341636
