DATE,ALVO_FECHOU_GAP_30MIN,GAP_NA_FAIXA_IDEAL,DIVERGENCIA_ABERTURA,GAP_ALTA,GAP_PORCENTAGEM_norm,DIAS_DESDE_ULTIMO_GAP_norm,VOLATILIDADE_ANTERIOR_norm,FORCA_ABERTURA_10MIN_norm,TEND_Aumentando,TEND_Diminuindo,TEND_Estável
2021-09-06,1,0,1,0,0.4165,0.0714,0.3693,0.5953,False,True,False
2021-09-08,0,0,0,0,0.4155,0.1429,0.3475,0.3062,False,True,False
2021-09-09,1,0,0,1,0.4883,0.0714,0.7718,0.733,True,False,False
2021-09-10,0,0,1,1,0.5966,0.0714,0.8007,0.4404,True,False,False
2021-09-13,0,0,0,1,0.5857,0.0714,0.4785,0.5589,False,True,False
2021-09-14,1,1,1,1,0.472,0.0714,0.3032,0.4474,False,True,False
2021-09-15,1,1,1,1,0.4693,0.0714,0.2706,0.3501,False,True,False
2021-09-16,0,0,0,0,0.3645,0.0714,0.2942,0.3562,True,False,False
2021-09-17,0,0,0,0,0.424,0.0714,0.2062,0.3877,False,True,False
2021-09-20,0,0,1,0,0.2252,0.0714,0.4867,0.6921,True,False,False
2021-09-21,0,0,1,1,0.5189,0.0714,0.4463,0.4591,False,True,False
2021-09-22,0,0,0,1,0.6104,0.0714,0.3784,0.6683,False,True,False
2021-09-23,0,0,1,1,0.4944,0.0714,0.3123,0.5041,False,True,False
2021-09-24,0,0,0,0,0.3616,0.0714,0.3598,0.4767,True,False,False
2021-09-27,0,1,0,0,0.4466,0.0714,0.2123,0.4594,False,True,False
2021-09-28,0,0,1,0,0.3632,0.0714,0.5017,0.6448,True,False,False
2021-09-29,0,0,1,1,0.5316,0.0714,0.5955,0.4627,True,False,False
2021-09-30,0,0,1,1,0.5529,0.0714,0.3165,0.3319,False,True,False
2021-10-01,0,0,0,1,0.5041,0.0714,0.3459,0.5876,True,False,False
2021-10-04,0,0,0,0,0.405,0.0714,0.3606,0.2666,False,False,True
2021-10-05,0,0,1,1,0.4976,0.0714,0.441,0.3731,True,False,False
2021-10-06,0,0,1,0,0.3013,0.0714,0.3264,0.5886,False,True,False
2021-10-07,0,0,1,1,0.4942,0.0714,0.4826,0.5213,True,False,False
2021-10-08,0,0,0,1,0.5532,0.0714,0.1776,0.6507,False,True,False
2021-10-11,1,1,1,1,0.4601,0.0714,0.4926,0.394,True,False,False
2021-10-13,0,0,1,1,0.5764,0.1429,0.3537,0.4918,False,True,False
2021-10-14,1,0,1,1,0.4839,0.0714,0.4176,0.5147,True,False,False
2021-10-15,1,1,1,1,0.4687,0.0714,0.2154,0.4429,False,True,False
2021-10-18,0,0,0,0,0.3336,0.0714,0.3295,0.4675,True,False,False
2021-10-19,0,0,0,0,0.2938,0.0714,0.4166,0.5194,True,False,False
2021-10-20,0,0,1,1,0.5549,0.0714,0.6036,0.3605,True,False,False
2021-10-21,0,0,1,0,0.1993,0.0714,0.3702,0.7495,False,True,False
2021-10-22,0,0,0,0,0.3506,0.0714,0.7309,0.5205,True,False,False
2021-10-25,0,0,0,1,0.5533,0.0714,1.0,0.7149,True,False,False
2021-10-26,0,0,0,0,0.3119,0.0714,0.4871,0.5076,False,True,False
2021-10-27,0,0,1,1,0.5206,0.0714,0.3011,0.5364,False,True,False
2021-10-28,1,0,0,0,0.3973,0.0714,0.4377,0.4779,True,False,False
2021-10-29,1,1,1,1,0.4612,0.0714,0.4125,0.3746,False,True,False
2021-11-01,0,0,1,1,0.6148,0.0714,0.5771,0.48,True,False,False
2021-11-03,0,0,0,0,0.3497,0.1429,0.3431,0.5281,False,True,False
2021-11-04,1,1,0,0,0.4498,0.0714,0.5492,0.3182,True,False,False
2021-11-05,0,0,0,1,0.5515,0.0714,0.5905,0.5578,True,False,False
2021-11-08,0,0,1,0,0.341,0.0714,0.2589,0.8019,False,True,False
2021-11-09,1,1,0,1,0.4643,0.0714,0.3968,0.622,True,False,False
2021-11-10,1,1,0,0,0.4374,0.0714,0.3764,0.4668,False,False,True
2021-11-11,0,0,1,1,0.6426,0.0714,0.4717,0.403,True,False,False
2021-11-12,1,0,1,0,0.4016,0.0714,0.2447,0.9207,False,True,False
2021-12-02,0,0,1,0,0.0013,1.0,0.4407,0.6551,True,False,False
2021-12-03,0,0,0,1,0.5271,0.0714,0.4619,1.0,True,False,False
2021-12-06,0,0,0,1,0.6199,0.0714,0.538,0.7258,True,False,False
2021-12-07,0,0,1,1,0.6181,0.0714,0.3935,0.5,False,True,False
2021-12-08,1,1,1,1,0.4718,0.0714,0.2625,0.3819,False,True,False
2021-12-09,0,0,1,0,0.3734,0.0714,0.2479,0.6102,False,False,True
2021-12-10,0,0,0,1,0.5756,0.0714,0.284,0.6364,True,False,False
2021-12-13,0,0,1,1,0.4777,0.0714,0.1992,0.5023,False,True,False
